"","operator","market_level_route","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992"
"191","Ibertrans","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"192","Incotrans","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"193","Kent Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"194","Marfret","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"195","Montreal Europe Nav","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"196","Quayport Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"197","Compania Chilena de Navegacion Interoceanica","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"198","Compania SudAmericana de Vapores SA","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"199","East Asiatic Co. A/S","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"200","Korea Marine Trans/NYK","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"201","MFECS","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"202","Neptune Orient Lines","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"203","NYK/Showa","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"204","Scindia","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"205","Hanjin","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"206","KSC","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"207","Lloyd Triestino","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"208","Malaysian International Shipping Corp Bhd","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"209","SMTM","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"210","Societe Navale Caennaise (SNC) Anct Gaston Lamy & Compagnie","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"211","America-Africa-Europe Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"212","Dannebrog","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"213","DFDS","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"214","Eimskip Island ehf","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"215","Frigo","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"216","Gulf Container","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"217","Laser Lines","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"218","Maersk","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"219","Montreal Shipping Inc","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"220","Ocean Lines","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"221","Transmediterranea","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"222","CC Line","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"223","Lloyd Brasileiro","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"224","NLS","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"225","Seaboard Pacific Line","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"226","TMM","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"227","Transnave","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"228","UASC","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"229","Rickmers","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"230","Contemaris","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"231","Evergreen","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"232","Mambisa","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"233","Rainbow","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"234","Surinam","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"235","Tecomar","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"236","WEC","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"237","CPV","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"238","NSCP","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"239","DL","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"240","Omex","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"241","AmTrans","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"242","Atlantic Cargo Service","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"243","Contship","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"244","Havenlijn","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"245","Lloyd Brasileiro","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"246","Maruba","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"247","Transroll","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"248","Japan Line","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"249","Contship","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"250","Alianca","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"251","EAC West Africa","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"252","Empremar","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"253","EWL","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"254","Fred Olsen","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"255","Hamburg-Sud","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"256","CSC","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"257","Merzario","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"258","NSCSA","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"259","Caribtainer","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"260","Europe Paraguay","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"261","PNSC","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"262","Independent","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"263","PSNC","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"264","Transnave","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"265","Kyowa","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"266","Compagnie maritime d'affretement","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"267","Arpa Shipping BV","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"268","Booth","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"269","Compagnie Maritime Belge","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"270","CTC","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"271","Samband","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"272","Topgallant","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"273","GBCS","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"274","Conship","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"275","DSR","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"276","Norasia","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"277","Brisa","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"278","Hyundai Merchant Marine Co Ltd","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"279","MOL/NYK","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"280","Westwood","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"281","Cho Yang","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel"
"282","Wan Hai","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"283","Grimaldi","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"284","Nissan","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"285","UMAG","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel"
"286","Polish Ocean Lines","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel"
