"","operator","market","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992"
"50","Zim","Transatlantic",NA,NA,NA,NA,NA,360,360,640,640,640,640,1040,2010,3094,3636,3636,3636,3636,3636,3636,3636,3636,3636,3636,3636,3636,3636,3636
"51","Nedlloyd","Transpacific",NA,NA,NA,NA,NA,509,509,509,509,1217,3341,3341,4043,4043,5697,5697,5697,5697,7315,11755,11755,16616,16616,16616,16616,16616,16616,16616
"52","Seaway Express Lines","Transpacific",NA,NA,NA,NA,NA,882,1866,1866,1866,1866,1866,1866,1866,2468,3648,3648,3648,3648,3648,3648,3648,3648,3648,3648,3648,NA,NA,NA
"53","NYK","Asia and Eur",NA,NA,NA,NA,NA,NA,1836,1836,1836,4654,4654,9428,9428,11654,12410,15758,15758,15758,17406,17406,17406,17406,17406,24642,24642,24642,24642,24642
"54","Samudera","Asia and Eur",NA,NA,NA,NA,NA,NA,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267
"55","TRIO","Asia and Eur",NA,NA,NA,NA,NA,NA,1838,33822,39461,39461,39461,39461,39461,39461,39461,39461,39461,39461,39461,39461,39461,39461,39461,39461,39461,39461,39461,39461
"56","ABC Container Line","Transatlantic",NA,NA,NA,NA,NA,NA,466,902,902,902,902,902,902,3102,6070,6070,6070,6070,6070,6070,6070,6070,6070,6070,6070,6070,6070,6070
"57","Canmar","Transatlantic",NA,NA,NA,NA,NA,NA,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,5290,5290,5290,5718,5718,5718,5718,5718,5718,5718,5718,5718
"58","Cia Transatlantica Espanola","Transatlantic",NA,NA,NA,NA,NA,NA,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560
"59","Finnlines","Transatlantic",NA,NA,NA,NA,NA,NA,1136,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704
"60","Italia","Transatlantic",NA,NA,NA,NA,NA,NA,1200,1200,1200,1622,1622,1622,1622,1622,2222,2650,2650,2650,3790,3790,3790,3790,3790,3790,8254,8254,8254,8254
"61","Italia marittima SpA","Transatlantic",NA,NA,NA,NA,NA,NA,900,900,900,1979,3058,3618,3618,5712,5712,5712,5712,5712,5712,5712,5712,5712,5712,5712,5712,5712,5712,5712
"62","Nedlloyd","Transatlantic",NA,NA,NA,NA,NA,NA,295,1606,1606,1606,1606,1606,3022,3022,3022,4482,4482,4482,4482,4482,4805,4805,4805,4805,4805,4805,4805,4805
"63","New England Express Line","Transatlantic",NA,NA,NA,NA,NA,NA,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476
"64","OOCL","Transatlantic",NA,NA,NA,NA,NA,NA,2266,6794,8348,8348,8348,8348,8348,8348,8348,8348,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200
"65","TMM","Transatlantic",NA,NA,NA,NA,NA,NA,455,455,455,455,455,455,455,455,2903,3719,3719,3719,3719,3719,3719,4919,6119,6119,6119,6119,6119,6119
"66","American Export Lines","Transpacific",NA,NA,NA,NA,NA,NA,1852,1852,1852,1852,1852,1852,1852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Frota Oceanica","Transpacific",NA,NA,NA,NA,NA,NA,128,374,374,374,374,374,374,374,374,810,810,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028
"68","Hanjin","Transpacific",NA,NA,NA,NA,NA,NA,1662,1662,1662,1662,1662,1662,4308,6676,11564,11564,13266,13266,13266,13266,13266,29262,31930,34598,36397,36397,36397,36397
"69","Hellenic Lines","Transpacific",NA,NA,NA,NA,NA,NA,600,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","K-Line","Transpacific",NA,NA,NA,NA,NA,NA,1752,1752,1752,3193,3515,3914,5426,5746,5746,5746,5746,8852,8852,8852,8852,20410,28995,28995,28995,28995,28995,28995
"71","KSC","Transpacific",NA,NA,NA,NA,NA,NA,1658,3102,3102,3102,4776,4776,4776,4776,4776,4776,4776,4776,4776,4776,4776,4776,4776,4776,NA,NA,NA,NA
"72","OOCL","Transpacific",NA,NA,NA,NA,NA,NA,4184,10036,10336,10679,10679,12353,12353,14003,15603,15603,15603,25752,25752,25752,28913,32074,41614,41614,41614,41614,41614,41614
"73","Pacific Far East Line","Transpacific",NA,NA,NA,NA,NA,NA,992,1660,1994,1994,1994,1994,1994,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Phoenix Container Line","Transpacific",NA,NA,NA,NA,NA,NA,2010,4186,4186,4186,4186,4186,4186,4186,9216,9216,9216,9216,9216,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Ben Line","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,5374,5374,5374,5374,5374,5374,5374,5374,5374,5374,5374,5374,5374,5374,5374,5374,5374,5374,5374,5374,5374
"76","EISC","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,150,300,300,300,300,300,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852
"77","Hapag-Lloyd","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,3760,6712,6712,6712,6712,6712,9768,10373,10373,13803,13803,13803,13803,13803,14543,15468,15468,20050,20050,20050,20050
"78","Jugolinija","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,184,184,184,184,184,184,754,2094,2797,3277,3757,4237,4237,4237,4237,4237,4237,4237,4237,4237,4237
"79","Med-Club","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,3494,3494,4828,4828,4828,4828,4828,4828,4828,4828,4828,4828,4828,4828,4828,4828,4828,4828,4828,4828,4828
"80","Occon Line","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,422,844,1266,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688
"81","OCL","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,NA,NA,NA,NA,NA,NA
"82","OOCL","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,2900,2900,4808,4808,6396,6396,7916,9666,9666,9666,9666,9666,9666,9666,9666,9666,9666,16654,16654,16654,16654
"83","Zim","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,1208,3624,3624,4832,4832,4832,9084,10040,10040,10040,10040,11053,11053,11053,11053,11053,11053,11053,11053,11053,11053
"84","Atlantic Lash","Transatlantic",NA,NA,NA,NA,NA,NA,NA,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
"85","Maritime Container Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,286,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950
"86","Portline","Transatlantic",NA,NA,NA,NA,NA,NA,NA,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
"87","Trasatlantica","Transatlantic",NA,NA,NA,NA,NA,NA,NA,366,366,366,366,366,366,366,366,366,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076
"88","USSR","Transatlantic",NA,NA,NA,NA,NA,NA,NA,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298
"89","Fesco","Transpacific",NA,NA,NA,NA,NA,NA,NA,302,670,2196,4186,6586,6586,8186,8986,8986,8986,8986,8986,8986,8986,8986,8986,8986,8986,8986,8986,8986
"90","Hapag-Lloyd","Transpacific",NA,NA,NA,NA,NA,NA,NA,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816
"91","Sea-Land","Transpacific",NA,NA,NA,NA,NA,NA,NA,7968,9968,9968,9968,9968,9968,9968,9968,9968,11414,11414,19614,19614,47224,47224,47224,47224,47224,47224,47224,47224
"92","Seatrain Lines","Transpacific",NA,NA,NA,NA,NA,NA,NA,3161,3937,3937,3937,3937,3937,8206,10264,10264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Blasco","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,368,368,368,368,368,368,4268,6344,6344,6344,8616,9149,10316,11256,12922,13342,13342,13342,13342,13342
"94","Chipolbrok","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,245,245,245,245,4060,4060,4998,4998,5318,6390,7122,7854,7854,7854,7854,9300,10023,10023,10023,10023
"95","Marfret","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477
"96","Neptune Orient Lines","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,1100,1100,1100,2669,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,7565,7565,7565,7565,7565
"97","Sea-Land","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088,6470,6470,6470,6470,6470,6470,6470,6470
"98","Baltatlantic","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,NA,NA,NA
"99","Bank Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,606,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212
"100","CCL","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422
"101","Combi Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275
"102","Eurosal","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,393,393,393,393,393,1401,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768
"103","Falline","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,600,600,600,600,600,600,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
"104","Jugolinija","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,604,604,1090,1090,2238,3188,4994,5924,7544,7544,7544,7544,7544,7544,11068,11068,11068,11068,11068,11068
"105","USSR","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104
"106","Zim","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
"107","MOL","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,1406,1406,1406,3841,4141,4852,4852,5574,5574,5574,5574,5574,5574,5574,9187,9187,9187,9187,9187
"108","MSC","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592
"109","Trans Freight Lines","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,582,582,582,582,4590,4590,4590,4590,5990,5990,5990,5990,5990,5990,5990,5990,NA,NA,NA
"110","Y-S Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,NA,NA,NA,NA
"111","Atlanttrafik/Barber Blue Sea","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,1090,1090,1090,1090,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280
"112","Cosco","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,1250,1250,1250,1250,4670,4670,11740,11740,11740,11740,11740,18112,21497,21497,21497,24213,24213,24213,24213
"113","K-Line","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,12976,12976,12976,12976
"114","Blasco","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940
"115","BSC","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,824,824,1648,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472
"116","Montemar","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422,422,422,422,1326,1326,1326,1326,2172,2737,2737,2737,2737,2737,2737,2737,2737,2737
"117","Evergreen","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1756,5396,10662,13244,16000,16000,16000,16000,16000,32368,32368,32368,32368,32368,32368,32368,32368,32368
"118","Blue Funnel Kine","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404
"119","ENC","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,110,110,110,110,110,110,484,484,484,484,484,484,484,484,484,484
"120","Franco-Belgian Services","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2964,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
"121","Mixte","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680
"122","Contract Marine Carriers","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,1414,2206,2206,2206,2206,2206,2206,2206,2206,2206,2206,2206,2206,2206,2206,2206
"123","Latvian Shipping Co","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"124","Nav del Odiel","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426
"125","ScanPacific Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
"126","Splosna Plovba","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,930,1550,3746,3746,3746,4663,4663,6909,6909,6909,6909,6909,6909,6909,6909,6909,6909
"127","Elma","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012
"128","MOL","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670,670,1465,2165,2865,4193,4193,6571,6571,8531,21226,21226,29592,31314,31314,31314,31314
"129","Y-S Line","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1730,1730,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,NA,NA,NA,NA
"130","Admiral Lines","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
"131","Chargeurs Reunis","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1482,1482,1482,1482,1482,1482,1482,1482,1482,1482,1482,1482,1482,1482,1482,1482
"132","Cie Generale Maritime","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5098,5098,5098,5098,5098,5098,5098,5098,5098,6402,8522,8522,8522,8522,8522,8522
"133","Compagnie Maritime Belge","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,789,1850,2645,4805,7187,7187,8339,8339,8339,8339,8339,8339,9359,9359,9359,9359
"134","East Asiatic Co. A/S","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
"135","Finland Steamship","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552
"136","Hong Kong Cont Line","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227
"137","Nedlloyd","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2696,2696,2696,2696,2696,2696,2696,3924,3924,3924,3924,3924,3924,3924,3924,3924
"138","P&O Containers","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5400,5400,5400,5400,5400,5400,5400,5400,6782,6782,8086,8086,15312,15312,15312,15312
"139","Sinotrans","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,180,180,180,180,180,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812
"140","Deutsche Afrika-Linien","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
"141","Elma","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,942,1384,1698,1838,1978,2258,2258,2258,2258,2258,3458,3458,4658,4658,4658,4658
"142","Euro-Gulf","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,1300,2000,2000,2000,2504,2504,2504,2504,2504,2504,2504,2504,2504,2504,2504
"143","Harrison Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400,2400,2400,3874,3874,3874,3874,3874,3874,3874,3874,3874,3874,3874,3874,3874
