"","vessel_name"
"619","Brest"
"620","Brian Boroime"
"621","Bribir"
"622","Bridgewater"
"623","Bright Star"
"624","Brigit Maersk"
"625","Brij"
"626","Britannia"
"627","Britta II"
"628","Bronislaw Lachowicz"
"629","Bronson"
"630","Brooklyn Bridge"
"631","Brouwersgracht"
"632","Bruarfoss"
"633","Bruma I"
"634","Brussel"
"635","Brynmore"
"636","Budapesht"
"637","Buffalo"
"638","Buffalo"
"639","Builder"
"640","Bukavu"
"641","Bulk Galaxy"
"642","Bunga Angsana"
"643","Bunga Butang"
"644","Bunga Dahlia"
"645","Bunga Kantan"
"646","Bunga Kemuning"
"647","Bunga Kenanga"
"648","Bunga Melati"
"649","Bunga Melor"
"650","Bunga Penaga"
"651","Bunga Permai"
"652","Bunga Raya"
"653","Bunga Seroja"
"654","Bunga Suria"
"655","Bunga Teratai"
"656","Buona Speranza"
"657","Busan Glory"
"658","Busan Star"
"659","Bustenl"
"660","Buyer"
"661","Buyo"
"662","Buzau"
"663","Buzet"
"664","Byblos"
"665","Bydgoszcz"
"666","Byron"
"667","BCR Ingrid"
"668","C Mehmet"
"669","Cabo Santa Ines"
"670","Cabo Santa Isabel"
"671","Cabot"
"672","Cabot"
"673","Caciulata"
"674","Cadiz"
"675","Cagayan de Oro Express"
"676","Cagayan de Oro Express"
"677","Caguas"
"678","Cai Lun"
"679","Caicara"
"680","Cala Atlantica"
"681","Cala Mediterranea"
"682","Calabar"
"683","Carabar"
"684","Calafat"
"685","Calandrini"
"686","Caleta Leones"
"687","Caleta Valdes"
"688","California Apollo"
"689","California Hermes"
"690","California Jupiter"
"691","California Luna"
"692","California Mercury"
"693","California Saturn"
"694","California Star"
"695","California Venus"
"696","California Zeus"
"697","Calypso"
"698","Cam Bilinga"
"699","Cam Ebene"
"700","Camilo Cienfuegos"
"701","Campania"
"702","Canadian Explorer"
"703","Canarias Express"
"704","Candelaria"
"705","Canis"
"706","Canmar Ambassador"
"707","Canmar Europe"
"708","Canmar Spirit"
"709","Conmar Swift"
"710","Canmar Venture"
"711","Canna"
"712","Canopus"
"713","Canopus"
"714","Canopus"
"715","Canopus"
"716","Canterbury Express"
"717","Cantuaria"
"718","Cap Anamur"
"719","Cape Charles"
"720","Cape Finisterre"
"721","Cape Henry"
"722","Capitaine La Perouse III"
"723","Capitaine Quiros"
"724","Capitaine Surville"
"725","Capitaine Tasman"
"726","Capitaine Wallis"
"727","Capo Carbonara"
"728","Capricornia"
"729","Captain"
"730","Captain Bouganville"
"731","Captain Cook"
"732","Captain Kermadec"
"733","Captain Magellan"
"734","Captain Paddon"
"735","Carabobo"
"736","Caraibe"
"737","Caransebes"
"738","Cardigan Bay"
"739","Carelia"
"740","Cargo Bay"
"741","Carib Trader"
"742","Caribbean Princess"
"743","Caribbean Queen"
"744","Caribbean Trailer"
"745","Caribe"
"746","Caribe Trader"
"747","Caribic"
"748","Caricom Express"
"749","Caricom Venture"
"750","Carimare"
"751","Carina"
"752","Carmen del Mar"
"753","Carmen Carina"
"754","Carolina"
"755","Carolina D"
"756","Caroline Delmas"
"757","Caroline Oldendorff"
"758","Caroni"
"759","Carrybox 2"
"760","Carrybox 3"
"761","Carrybox 4"
"762","Cartagena"
"763","Cartagena de Indias"
"764","Casablanca"
"765","Casilda del Mar"
"766","Cast Beaver"
"767","Cast Caribou"
"768","Cast Husky"
"769","Cast Muskox"
"770","Cast Otter"
