"","operator","route","market_level_route","cartel_transpacific_dummy","cartel_transatlantic_dummy","cartel_asia_and_europe_dummy"
"158","PNSC","ECNA/Mid-East/Ind","transpacific",FALSE,FALSE,FALSE
"159","POL","Eur/Mid-East/Ind","europe_and_asia",FALSE,FALSE,FALSE
"160","POL","ECSA/Eur","transatlantic",FALSE,FALSE,FALSE
"161","POL","ECSA/Jap","transpacific",FALSE,FALSE,FALSE
"162","Portline","ECSA/Port","transatlantic",FALSE,FALSE,FALSE
"163","PSNC","Eur/WCSA","transatlantic",FALSE,FALSE,FALSE
"164","Rainbow","Ice/USEC","transatlantic",FALSE,FALSE,FALSE
"165","Rickmers","Eur/FE/PRC","europe_and_asia",FALSE,FALSE,FALSE
"166","Samband","Ice/USEC","transatlantic",FALSE,FALSE,FALSE
"167","Samudera","Eur/Indo","europe_and_asia",FALSE,FALSE,FALSE
"168","ScanDutch","Eur/FE/Jap","europe_and_asia",FALSE,FALSE,TRUE
"169","SCI","USEC/Eur/W Ind","all_routes",FALSE,FALSE,FALSE
"170","Sea-Land","Eur/Mid-East/FE","europe_and_asia",TRUE,TRUE,FALSE
"171","Sea-Land","Eur/USEC/GC","transatlantic",TRUE,TRUE,FALSE
"172","Sea-Land","FE/Jap/PSW","transpacific",TRUE,TRUE,FALSE
"173","Seaboard","Can/Jap","transpacific",FALSE,FALSE,FALSE
"174","Seas","ECSA/Med","transatlantic",FALSE,FALSE,FALSE
"175","Senator","RW(West)","all_routes",FALSE,FALSE,FALSE
"176","Sinotrans","Eur/PRC","europe_and_asia",FALSE,FALSE,FALSE
"177","SMTM","Eur/Ind Oc","europe_and_asia",FALSE,FALSE,FALSE
"178","SNC","Eur/Ind Oc","europe_and_asia",FALSE,FALSE,FALSE
"179","Splosna Plovba","Med/WCNA","transatlantic",FALSE,TRUE,FALSE
"180","Star Shpp","Eur/WCNA","transatlantic",FALSE,FALSE,FALSE
"181","Surinam","C Am/Eur","transatlantic",FALSE,FALSE,FALSE
"182","Tecomar","Eur/USGC/Mex","transatlantic",FALSE,FALSE,FALSE
"183","TFH Line","Eur/FE/PRC","europe_and_asia",FALSE,FALSE,FALSE
"184","TFL","Eur/WCNA","transatlantic",FALSE,FALSE,FALSE
"185","TMM","Eur/Mex/USEC","transatlantic",FALSE,FALSE,FALSE
"186","TMM","FE/USWC/Mex","transpacific",FALSE,FALSE,FALSE
"187","Topgallant","Eur/USEC","transatlantic",FALSE,FALSE,FALSE
"188","Transmediterranea","Can Is/Sp","transatlantic",FALSE,FALSE,FALSE
"189","Transnave","Eur/WCSA","transatlantic",FALSE,FALSE,FALSE
"190","Transnave","FE/Jap/WCSA","transpacific",FALSE,FALSE,FALSE
"191","Transroll","ECSA/Eur","transatlantic",FALSE,FALSE,FALSE
"192","Trasatlantica","C Am/Med","transatlantic",FALSE,FALSE,FALSE
"193","Trasmediterranea","Can Is/Sp","transatlantic",FALSE,FALSE,FALSE
"194","Trikora","Eur/Indo","europe_and_asia",FALSE,FALSE,FALSE
"195","UAL","Can/Eur","transatlantic",FALSE,FALSE,FALSE
"196","UMAG","C Am/Eur","transatlantic",FALSE,FALSE,FALSE
"197","Unimex/Deppe","Eur/Carib/Mex","transatlantic",FALSE,FALSE,FALSE
"198","Unithai","Eur/SE Asia","europe_and_asia",FALSE,FALSE,FALSE
"199","Wan Hai","E Jap/Taiw/UK","europe_and_asia",FALSE,FALSE,FALSE
"200","Waterman","SE Asia/USEC/GC/Mid-East","transpacific",FALSE,FALSE,FALSE
"201","WEC","Can Is/Eur","transatlantic",FALSE,FALSE,FALSE
"202","Westwood","Jap/Kor/PNW","transpacific",FALSE,FALSE,FALSE
"203","Wilhelmsen Lines A/S","Eur/ANZ/FE/US/Eur","europe_and_asia",FALSE,FALSE,TRUE
"204","Yangming","Eur/R Sea/Ind/FE/USWC/EC","all_routes",FALSE,FALSE,FALSE
"205","Ybarra","ECSA/Med","transatlantic",FALSE,FALSE,FALSE
"206","Zim","ECSA/Med","transatlantic",FALSE,TRUE,FALSE
"207","Zim","FE/Jap/Med","europe_and_asia",FALSE,TRUE,FALSE
"208","Zim","Med/USEC/WC/FE","all_routes",FALSE,TRUE,FALSE
