"","operator","market_level_route","cartel_dummy"
"214","Pacific Far East Line","Transpacific","noncartel"
"215","Pacific International Lines (Pte) Ltd","Transpacific","noncartel"
"216","Pacific Steam Navigation Co","Transatlantic","noncartel"
"217","Phoenix Container Line","Transpacific","noncartel"
"218","PNSC","Transpacific","noncartel"
"219","Polish Ocean Lines","Asia and Eur","cartel"
"220","Polish Ocean Lines","Transatlantic","cartel"
"221","Polish Ocean Lines","Transpacific","cartel"
"222","Portline","Transatlantic","noncartel"
"223","Prudential Grace Line","Transatlantic","cartel"
"224","Prudential Lines","Transatlantic","noncartel"
"225","PSNC","Transatlantic","noncartel"
"226","PT Perusahaan Pelayaran Samudera 'Trikora Lloyd'","Asia and Eur","noncartel"
"227","Quayport Line","Transatlantic","noncartel"
"228","Rainbow","Transatlantic","noncartel"
"229","Rickmers","Asia and Eur","noncartel"
"230","Ro-Lo Pacific Line","Transpacific","noncartel"
"231","Samband","Transatlantic","noncartel"
"232","Samudera","Asia and Eur","noncartel"
"233","ScanDutch","Asia and Eur","cartel"
"234","ScanPacific Line","Transatlantic","cartel"
"235","Scindia","Transpacific","noncartel"
"236","Sea-Land","Asia and Eur","cartel"
"237","Sea-Land","Transatlantic","cartel"
"238","Sea-Land","Transpacific","cartel"
"239","Seaboard Pacific Line","Transpacific","noncartel"
"240","Seas","Transatlantic","noncartel"
"241","Seatrain Lines","Transatlantic","noncartel"
"242","Seatrain Lines","Transpacific","noncartel"
"243","Seaway Express Lines","Transpacific","noncartel"
"244","Sinotrans","Asia and Eur","noncartel"
"245","SMTM","Asia and Eur","noncartel"
"246","Societe Navale Caennaise (SNC) Anct Gaston Lamy & Compagnie","Asia and Eur","noncartel"
"247","Splosna Plovba","Transatlantic","cartel"
"248","Star Shipping","Transatlantic","noncartel"
"249","Star Shipping","Transpacific","noncartel"
"250","Surinam","Transatlantic","noncartel"
"251","Tecomar","Transatlantic","noncartel"
"252","TFH Line","Asia and Eur","noncartel"
"253","The Shipping Corporation of India Ltd","Asia and Eur","noncartel"
"254","The Shipping Corporation of India Ltd","Transpacific","noncartel"
"255","The Unithai Line Ltd","Asia and Eur","noncartel"
"256","TMM","Transatlantic","noncartel"
"257","TMM","Transpacific","noncartel"
"258","Topgallant","Transatlantic","noncartel"
"259","Trans Freight Lines","Transatlantic","noncartel"
"260","Transmediterranea","Transatlantic","noncartel"
"261","Transnave","Transatlantic","noncartel"
"262","Transnave","Transpacific","noncartel"
"263","Transroll","Transatlantic","noncartel"
"264","Trasatlantica","Transatlantic","noncartel"
"265","TRIO","Asia and Eur","cartel"
"266","UASC","Transpacific","noncartel"
"267","Uiterwyck Lines","Transatlantic","noncartel"
"268","UMAG","Transatlantic","noncartel"
"269","Unimex/Deppe","Transatlantic","noncartel"
"270","United States Lines","Transatlantic","cartel"
"271","United States Lines","Transpacific","cartel"
"272","Universal Americas Lines","Transatlantic","noncartel"
"273","USSR","Transatlantic","noncartel"
"274","USSR","Transpacific","noncartel"
"275","Wan Hai","Asia and Eur","noncartel"
"276","Waterman Transport Inc","Transpacific","noncartel"
"277","WEC","Transatlantic","noncartel"
"278","Westwood","Transpacific","noncartel"
"279","Wilhelmsen Lines A/S","Asia and Eur","cartel"
"280","Y-S Line","Transatlantic","cartel"
"281","Y-S Line","Transpacific","cartel"
"282","Yangming","Transpacific","noncartel"
"283","Ybarra","Transatlantic","noncartel"
"284","Zim","Asia and Eur","cartel"
"285","Zim","Transatlantic","cartel"
"286","Zim","Transpacific","cartel"
