,operator,market_level_route,cartel_dummy
206,NYK,Transpacific,cartel
207,NYK/Showa,Transpacific,cartel
208,Occon Line,Asia and Europe,noncartel
209,Ocean Lines,Transatlantic,noncartel
210,OCL,Asia and Europe,noncartel
211,Omex,Asia and Europe,noncartel
212,OOCL,Asia and Europe,cartel
213,OOCL,Transatlantic,cartel
214,OOCL,Transpacific,cartel
215,OPDR,Transatlantic,noncartel
216,P&O Containers,Asia and Europe,noncartel
217,Pacific Far East Line,Transpacific,noncartel
218,Pacific Steam Nav Co,Transatlantic,noncartel
219,Phoenix Container Line,Transpacific,noncartel
220,PIL,Transpacific,noncartel
221,Pinillos,Transatlantic,noncartel
222,PNSC,Transpacific,noncartel
223,POL,Asia and Europe,noncartel
224,POL,Transatlantic,noncartel
225,POL,Transpacific,noncartel
226,Portline,Transatlantic,noncartel
227,Prudential Grace Line,Transatlantic,cartel
228,Prudential Lines,Transatlantic,noncartel
229,PSNC,Transatlantic,noncartel
230,Quayport Line,Transatlantic,noncartel
231,Rainbow,Transatlantic,noncartel
232,Rickmers,Asia and Europe,noncartel
233,Ro-Lo Pacific Line,Transpacific,noncartel
234,Samband,Transatlantic,noncartel
235,Samudera,Asia and Europe,noncartel
236,ScanDutch,Asia and Europe,cartel
237,ScanPacific Line,Transatlantic,cartel
238,SCI,All routes,noncartel
239,SCI,Asia and Europe,noncartel
240,SCI,Transpacific,noncartel
241,Scindia,Transpacific,noncartel
242,Sea-Land,Asia and Europe,cartel
243,Sea-Land,Transatlantic,cartel
244,Sea-Land,Transpacific,cartel
245,Seaboard Pacific Line,Transpacific,noncartel
246,Seas,Transatlantic,noncartel
247,Seatrain Lines,Transatlantic,noncartel
248,Seatrain Lines,Transpacific,noncartel
249,Seaway Express Lines,Transpacific,noncartel
250,Senator,All routes,noncartel
251,Sinotrans,Asia and Europe,noncartel
252,SMTM,Asia and Europe,noncartel
253,SNC,Asia and Europe,noncartel
254,Splosna Plovba,Transatlantic,cartel
255,Star Shipping,Transatlantic,noncartel
256,Star Shipping,Transpacific,noncartel
257,Surinam,Transatlantic,noncartel
258,Tecomar,Transatlantic,noncartel
259,TFH Line,Asia and Europe,noncartel
260,TFL,Transatlantic,noncartel
261,TMM,Transatlantic,noncartel
262,TMM,Transpacific,noncartel
263,Topgallant,Transatlantic,noncartel
264,Trans Freight Lines,Transatlantic,noncartel
265,Transmediterranea,Transatlantic,noncartel
266,Transnave,Transatlantic,noncartel
267,Transnave,Transpacific,noncartel
268,Transroll,Transatlantic,noncartel
269,Trasatlantica,Transatlantic,noncartel
270,Trikora,Asia and Europe,noncartel
271,TRIO,Asia and Europe,cartel
272,UAL,Transatlantic,noncartel
273,UASC,Transpacific,noncartel
274,Uiterwyck Lines,Transatlantic,noncartel
275,UMAG,Transatlantic,noncartel
276,Unimex/Deppe,Transatlantic,noncartel
277,United States Lines,Transatlantic,cartel
278,United States Lines,Transpacific,cartel
279,Unithai,Asia and Europe,noncartel
280,USSR,Transatlantic,noncartel
281,USSR,Transpacific,noncartel
282,Wan Hai,Asia and Europe,noncartel
283,Waterman,Transpacific,noncartel
284,WEC,Transatlantic,noncartel
285,Westwood,Transpacific,noncartel
286,Wilhelmsen Lines A/S,Asia and Europe,cartel
287,Y-S Line,Transatlantic,noncartel
288,Y-S Line,Transpacific,noncartel
289,Yangming,All routes,noncartel
290,Yangming,Transpacific,noncartel
291,Ybarra,Transatlantic,noncartel
292,Zim,All routes,cartel
293,Zim,Asia and Europe,cartel
294,Zim,Transatlantic,cartel
295,Zim,Transpacific,cartel
