,operator,market_level_route,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
56,Nedlloyd,Transpacific,NA,NA,NA,NA,NA,1,1,1,1,2,5,5,6,6,8,8,8,8,9,12,12,15,15,15,15,15,15,15
57,Seaway Express Lines,Transpacific,NA,NA,NA,NA,NA,2,4,4,4,4,4,4,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7
58,Zim,all_routes,NA,NA,NA,NA,NA,NA,2,6,8,8,8,8,11,11,11,11,14,15,15,15,15,15,15,15,15,15,15,15
59,NYK,Europe and Asia,NA,NA,NA,NA,NA,NA,1,1,1,3,3,5,5,6,7,10,10,10,12,12,12,12,12,14,14,14,14,14
60,Samudera,Europe and Asia,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,TRIO,Europe and Asia,NA,NA,NA,NA,NA,NA,1,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
62,Unithai,Europe and Asia,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
63,ABC Container Line,Transatlantic,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6
64,Canmar,Transatlantic,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,4,4,4,5,5,5,5,5,5,5,5,5
65,Cia Transatlantica Espanola,Transatlantic,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
66,Contenemar,Transatlantic,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7
67,Finnlines,Transatlantic,NA,NA,NA,NA,NA,NA,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
68,Italia,Transatlantic,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,2,3,4,4,4,5,5,5,5,5,5,7,7,7,7
69,Italia SpA,Transatlantic,NA,NA,NA,NA,NA,NA,1,1,1,2,3,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
70,Nedlloyd,Transatlantic,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7
71,New England Express Line,Transatlantic,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
72,OOCL,Transatlantic,NA,NA,NA,NA,NA,NA,1,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
73,TMM,Transatlantic,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,6,7,7,7,7,7,7
74,American Export Lines,Transpacific,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
75,Frota Oceanica,Transpacific,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,4,4,5,5,5,5,5,5,5,5,5,5,5
76,Hanjin,Transpacific,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,5,9,9,10,10,10,10,10,16,17,18,19,19,19,19
77,Hellenic Lines,Transpacific,NA,NA,NA,NA,NA,NA,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
78,K-Line,Transpacific,NA,NA,NA,NA,NA,NA,3,3,3,4,4,5,8,9,9,9,9,11,11,11,11,15,18,18,18,18,18,18
79,KSC,Transpacific,NA,NA,NA,NA,NA,NA,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
80,OOCL,Transpacific,NA,NA,NA,NA,NA,NA,4,13,14,15,15,16,16,17,19,19,19,23,23,23,24,25,28,28,28,28,28,28
81,Pacific Far East Line,Transpacific,NA,NA,NA,NA,NA,NA,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
82,Phoenix Container Line,Transpacific,NA,NA,NA,NA,NA,NA,3,5,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10
83,SCI,Transpacific,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
84,Ben Line,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
85,EISC,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
86,Hapag-Lloyd,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,3,4,5,5,6,6,6,6,6,7,8,8,10,10,10,10
87,Jugolinija,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,4,5,6,7,8,8,8,8,8,8,8,8,8,8
88,Med-Club,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
89,Occon Line,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
90,OCL,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,OOCL,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,6,6,7,7,8,8,9,10,10,10,10,10,10,10,10,10,10,12,12,12,12
92,Zim,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,1,3,3,4,4,4,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11
93,Atlantic Lash,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,Booker Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
95,CSAV,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
96,Maritime Container Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
97,Pacific Steam Nav Co,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
98,Portline,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,Trasatlantica,Transatlantic,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
100,USSR,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,Fesco,Transpacific,NA,NA,NA,NA,NA,NA,NA,1,2,6,10,14,14,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17
102,Hapag-Lloyd,Transpacific,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,Sea-Land,Transpacific,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,5,5,5,5,5,6,6,10,10,21,21,21,21,21,21,21,21
104,Seatrain Lines,Transpacific,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,5,5,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11
105,ACTA/ANL,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,Blasco,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,7,7,7,10,11,13,14,16,17,17,17,17,17
107,Chipolbrok,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,7,7,9,9,10,13,15,17,17,17,17,19,20,20,20,20
108,Marfret,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,Neptune Orient Lines,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
