"","year","route","value"
"199",2003,"europe_to_asia",4000
"200",2004,"europe_to_asia",5200
"201",2005,"europe_to_asia",5600
"202",2006,"europe_to_asia",9100
"203",2007,"europe_to_asia",10000
"204",1971,"asia_to_europe",25.8366687445987
"205",1972,"asia_to_europe",302.219605890325
"206",1973,"asia_to_europe",414.227313611189
"207",1974,"asia_to_europe",478.002238834093
"208",1975,"asia_to_europe",541.777164056996
"209",1976,"asia_to_europe",641.606595383648
"210",1977,"asia_to_europe",741.4360267103
"211",1978,"asia_to_europe",841.265458036952
"212",1979,"asia_to_europe",899.885005567802
"213",1980,"asia_to_europe",958.504553098652
"214",1981,"asia_to_europe",1017.1241006295
"215",1982,"asia_to_europe",1161.21405169345
"216",1983,"asia_to_europe",1305.30400275739
"217",1984,"asia_to_europe",1449.39395382133
"218",1985,"asia_to_europe",1552.19512533236
"219",1986,"asia_to_europe",1654.9962968434
"220",1987,"asia_to_europe",1757.79746835443
"221",1988,"asia_to_europe",1829.54430379747
"222",1989,"asia_to_europe",1883.35443037975
"223",1990,"asia_to_europe",2062.72151898734
"224",1991,"asia_to_europe",2331.77215189873
"225",1992,"asia_to_europe",2367.64556962025
"226",1993,"asia_to_europe",2600.82278481013
"227",1994,"asia_to_europe",2690.50632911392
"228",1995,"asia_to_europe",2834
"229",1996,"asia_to_europe",3142
"230",1997,"asia_to_europe",3290
"231",1998,"asia_to_europe",3490
"232",1999,"asia_to_europe",3950
"233",2000,"asia_to_europe",4530
"234",2001,"asia_to_europe",4610
"235",2002,"asia_to_europe",6130
"236",2003,"asia_to_europe",7060
"237",2004,"asia_to_europe",8900
"238",2005,"asia_to_europe",9900
"239",2006,"asia_to_europe",15300
"240",2007,"asia_to_europe",17700
